associate_in_nursing.n.01	2.01871
pool.n.07	2.3139636363636362
maine.n.01	2.472991935483871
birthday.n.01	2.5010848484848487
yes.n.01	2.5186537096774195
bye.n.01	2.5518906250000004
mother.n.01	2.6102909090909088
one.n.01	2.6335550000000003
bad.n.01	2.6420910416666668
worse.n.01	2.6420910416666668
worst.n.01	2.6420910416666668
toilet.n.02	2.6610181818181817
two.n.01	2.8108967741935484
large.a.01	2.839965625
bigger.s.01	2.839965625
water.n.01	2.8429886363636365
shout.v.02	2.857949784946236
ate.n.01	2.906082083333333
eat.v.01	2.906082083333333
eating.n.01	2.906082083333333
leg.n.01	2.9463553763440857
legs.n.01	2.9463553763440857
sleep.n.03	2.9676015624999996
male_child.n.01	2.9959062499999995
bite.n.04	3.0049
moisture.n.01	3.0087109375
wetting_agent.n.01	3.0087109375
wetting.n.01	3.0087109375
bed.n.01	3.0138989247311834
bathroom.n.01	3.0210181818181816
foot.n.01	3.0286127083333336
plaything.n.01	3.043533333333334
ball.n.01	3.044338709677419
carrot.n.01	3.0528121212121215
grandfather.n.01	3.06
cat.n.01	3.0730344827586213
up.v.01	3.0799290625
cookie.n.01	3.0846727272727277
cartoon.n.01	3.1164666666666663
shoe.v.01	3.1282129032258066
shoe.n.01	3.1282129032258066
sleep.v.01	3.140803333333333
dog.n.01	3.1742885416666673
chase.v.01	3.1742885416666673
man.n.01	3.193907708333333
work_force.n.01	3.193907708333333
crayon.n.01	3.2
little_finger.n.01	3.21
hot.a.01	3.2136896774193553
house.n.01	3.241765
toilet.n.01	3.255349494949495
good.n.01	3.261488709677419
sister.n.01	3.2849725252525257
yellow.n.01	3.3064642424242425
hair.n.01	3.3113770833333334
spoon.n.01	3.323607291666667
toothpaste.n.01	3.33
father.n.01	3.3306671717171716
on.a.01	3.3327971875
flower.n.01	3.3347073737373734
red.n.01	3.3433002083333334
underpants.n.01	3.35
sock.n.01	3.3583708333333333
go.n.01	3.365325483870967
travel.v.01	3.365325483870967
blue.n.01	3.3687443010752687
bluing.n.01	3.3687443010752687
sleepy.s.01	3.37
backyard.n.01	3.38
cup.n.01	3.3901129032258064
sit.v.01	3.402046875
sitting.n.01	3.402046875
puppy.n.01	3.4143828282828284
toe.n.01	3.4221583333333334
huffy.s.02	3.427825
madder.n.01	3.427825
hungry.a.01	3.4284838383838383
ear.n.01	3.4299
sun.n.01	3.4498885416666667
hat.n.01	3.453620967741936
pot.n.07	3.4619151515151514
diaper.n.01	3.463709090909091
astatine.n.01	3.4670453125
snowman.n.01	3.47
bath.n.01	3.47545890625
stop.n.01	3.478353333333333
fillet.n.05	3.478353333333333
color.n.01	3.480569696969697
colors.n.01	3.480569696969697
nose.n.01	3.487208602150538
all.a.01	3.4887296875000002
arm.n.01	3.4962250000000004
coloring.n.01	3.5
eyes.n.01	3.50312
please.v.01	3.50383870967742
breakfast.n.01	3.512633106060606
cow.n.01	3.514740645161291
hug.n.01	3.5193572916666667
embrace.v.02	3.5193572916666667
finger.n.01	3.5226080808080806
down.n.01	3.5252577419354845
duck.n.01	3.5282806451612907
ducking.n.01	3.5282806451612907
moo.n.01	3.53
thanks.n.01	3.53
woof.n.01	3.53
face.n.01	3.531377096774194
menagerie.n.02	3.539594827586207
proverb.n.01	3.545004791666667
see.n.01	3.545004791666667
visual_perception.n.01	3.545004791666667
see.v.01	3.545004791666667
floor.n.02	3.5527447474747476
flies.n.01	3.5690989583333335
fly.n.01	3.5690989583333335
drink.v.01	3.57053546875
drink.n.01	3.57053546875
kitten.n.01	3.5747684090909093
six.n.01	3.5760934375
mouth.n.01	3.58
dinnertime.n.01	3.58
doll.n.01	3.58314375
day.n.01	3.5902417204301074
banana.n.01	3.591305
milk.n.01	3.604001041666667
fun.n.01	3.6087109375
table.n.01	3.612760101010101
sad.a.01	3.61802
god.n.01	3.61853125
bottle.n.01	3.6246060606060606
seven.n.01	3.636584696969697
bedroom.n.01	3.639949494949495
small.n.01	3.6429831250000007
regretful.a.01	3.6465747474747476
mine.n.01	3.653762741935484
balloon.n.01	3.6655696969696967
butterfly.n.01	3.67
happy.a.01	3.6719917171717174
cold.n.01	3.6807625
tree.n.01	3.692165
kiss.n.01	3.7020827956989244
crap.n.01	3.7026015625
bang.n.02	3.7088306451612905
play.n.01	3.71048359375
brother.n.01	3.7127464646464645
bathtub.n.01	3.7131562500000004
night.n.01	3.72
clown.n.01	3.7220241935483873
dentition.n.02	3.724794791666667
tooth.n.01	3.724794791666667
bird.n.01	3.726144086021506
shoe_polish.n.01	3.7344726881720427
fire.n.01	3.7506067741935483
fire.n.02	3.7506067741935483
door.n.01	3.7513
orange.n.01	3.75235
united_states.n.01	3.7526127419354838
apparel.n.01	3.7669656249999997
name.n.01	3.7675083333333332
naming.n.01	3.7675083333333332
neck.n.01	3.7707802083333335
morning.n.01	3.7751427272727276
towel.n.01	3.7781939393939394
ice_lolly.n.01	3.78
apple.n.01	3.781748484848485
frighten.v.01	3.79
marshmallow.n.01	3.8
smile.n.01	3.8024609375000002
lip.n.01	3.8133
grandma.n.01	3.81655
can.n.01	3.8174450537634415
chair.n.01	3.8229250000000006
friend.n.01	3.8244550537634403
get.v.01	3.8266733333333334
get.n.01	3.8266733333333334
acquiring.n.01	3.8266733333333334
wash.n.01	3.827452016129032
wash.n.02	3.827452016129032
green.n.01	3.833385416666667
greens.n.01	3.833385416666667
talk.n.01	3.8371327083333333
bathing.n.01	3.84
here.n.01	3.844317419354839
spanking.n.01	3.86
top.n.01	3.8676970833333333
kitchen.n.01	3.8877630303030304
