word	cue_validity
entity.n.01	0.00025150800952517097
physical_entity.n.01	0.006853425885109139
abstraction.n.06	0.007617292161023609
thing.n.12	0.0017864725722300844
object.n.01	0.09620020795837206
whole.n.02	0.016528223438064094
congener.n.03	0.001669449081803005
living_thing.n.01	0.005608024724528752
organism.n.01	0.06893248819453639
benthos.n.02	0.016050714052829002
dwarf.n.03	0.001298442707346011
heterotroph.n.01	0.001148268001728355
parent.n.02	0.007829756784441349
life.n.10	0.007462686567164179
biont.n.01	0.012342253878339654
cell.n.02	0.058236025827405
causal_agent.n.01	0.0315136003211884
person.n.01	0.017529986637897354
animal.n.01	0.04260898010584641
plant.n.02	0.012704036525399363
native.n.03	0.013838183435791367
natural_object.n.01	0.0008301280234859243
substance.n.01	0.04274520640906126
substance.n.07	0.04274520640906126
matter.n.03	0.023332451593794018
food.n.01	0.0064744076605757345
nutrient.n.02	0.00624783575636033
artifact.n.01	0.002322665601720701
article.n.02	0.0008163265306122449
psychological_feature.n.01	0.0017659706628830277
cognition.n.01	0.015283137259562424
motivation.n.01	0.030171351291083105
attribute.n.02	0.0036742882921385663
state.n.02	0.0011652113444399973
feeling.n.01	0.010551248923341945
location.n.01	0.0012670695863900338
shape.n.02	0.07841475311881861
time.n.05	0.053621495492091456
space.n.01	0.01631072152492767
absolute_space.n.01	0.001455604075691412
phase_space.n.01	0.002235635276939462
event.n.01	0.014884997146535527
process.n.06	0.01686469983378538
act.n.02	0.016436276979875646
group.n.01	0.0052120294220599295
relation.n.01	0.004094553668108844
possession.n.02	0.07202380952380952
social_relation.n.01	0.009666089412058381
communication.n.02	0.005232051946932833
measure.n.02	0.00859761159906474
phenomenon.n.01	0.00411522633744856
thing.n.02	0.0017864725722300844
kindness.n.03	0.008015970662883029
abdominoplasty.n.01	0.039022416722864516
abort.n.01	0.0313844556896328
accomplishment.n.01	0.04199134199134199
agon.n.01	0.006668333750104193
alienation.n.04	0.0019047619047619048
application.n.07	0.015621191815798515
beachhead.n.02	0.00396291063806316
cakewalk.n.02	0.00558659217877095
feat.n.01	0.23068939659804108
masterpiece.n.02	0.007850562494463639
masterstroke.n.01	0.0869047619047619
credit.n.04	0.003853046594982079
action.n.01	0.0012330456226880395
res_gestae.n.02	0.0023198557106666453
course.n.04	0.07846153846153847
blind_alley.n.02	0.0046039476313901
collision_course.n.02	0.012582752399321759
interaction.n.01	0.005232051946932833
interplay.n.01	0.0021051789292975583
contact.n.01	0.014409012749918591
brush.n.09	0.23700367244886578
eye_contact.n.02	0.010271546635182998
fetch.n.01	0.0076981722562109774
placement.n.02	0.0012670695863900338
interchange.n.02	0.026958800024089437
reciprocity.n.02	0.025691730437699404
cross-fertilization.n.02	0.003453374628565869
dealings.n.01	0.0258817390363565
relation.n.06	0.004094553668108844
playing.n.02	0.004509348795664812
play.n.17	0.3737174356821006
boondoggle.n.01	0.057053659022322
bowling.n.03	0.09948125452808743
acquiring.n.01	0.006590756396808647
causing.n.01	0.019198269223838396
delivery.n.07	0.007940721784326456
departure.n.01	0.011769570142897189
derring-do.n.01	0.011111111111111112
discovery.n.01	0.02078587116302131
disposal.n.03	0.019494491367057408
hit.n.01	5.0704796673765336e-05
implementation.n.02	0.004526703750465447
egress.n.03	0.011683623381257367
equalization.n.01	1.0105870511297692
exhumation.n.01	0.028410991000556603
mitzvah.n.02	0.5444041700752664
propulsion.n.02	0.032839452360868486
rally.n.02	0.1407153893884952
recovery.n.03	0.009555068080732934
running_away.n.01	0.0008748906386701663
stunt.n.01	0.00717489492503607
touch.n.05	0.010601953720015711
tour_de_force.n.01	0.1279391209588934
performance.n.04	0.01789338692567191
overachievement.n.01	0.02488479262672811
underachievement.n.01	5.0704796673765336e-05
record.n.04	0.11167979489353108
fait_accompli.n.01	0.035907208199081296
going.n.03	0.028127712863934926
arrival.n.01	0.010171735206987248
arrival.n.02	0.0007887073844592732
attainment.n.02	0.03649975454099165
advent.n.01	0.011805211587069049
entrance.n.03	0.22579068494227514
incursion.n.01	0.0017846176028314482
intrusion.n.02	0.05263157894736842
irruption.n.01	0.009194425806290447
entree.n.04	0.0050518094212454925
entail.n.02	0.024442174638352226
registration.n.01	0.01764933156084825
appearance.n.05	0.004252385468942673
apparition.n.04	0.015347907593876563
emergence.n.03	0.009517120849077946
reappearance.n.02	0.003158375630904771
comeback.n.02	0.0008748906386701663
return.n.02	0.005128734509628805
repatriation.n.01	0.0026693858910272505
penetration.n.03	0.0018281535648994515
interpenetration.n.02	0.004248216723385508
market_penetration.n.01	0.001644344645965742
anchorage.n.05	0.0932239829466239
docking.n.01	0.030087167171090147
landing.n.04	0.0232214589561364
landing.n.03	0.0232214589561364
forced_landing.n.01	0.016353895844898474
breaking_away.n.02	0.0008748906386701663
farewell.n.02	0.10870559425948298
french_leave.n.01	0.008074001201215252
valediction.n.02	0.008644930840553275
disappearance.n.01	0.003601734502663503
vanishing.n.02	0.00281302711820423
withdrawal.n.03	0.011028702810947118
effacement.n.02	0.014375952542567691
retreat.n.07	0.012269370601868376
retirement.n.03	0.015082397720072605
evacuation.n.02	0.057536405477308566
medical_evacuation.n.01	0.05719247967915852
decampment.n.02	0.007432936737448015
desertion.n.01	1.1103287060534133
abscondment.n.01	1.0129520960071265
absence_without_leave.n.01	0.00411574544708027
deviationism.n.01	0.0037382217933385085
emigration.n.01	0.058606207496536195
immigration.n.01	0.007589494764349282
aliyah.n.02	0.0006816632583503749
pullback.n.02	0.0008748906386701663
retreat.n.01	0.012269370601868376
standdown.n.02	0.04003506717982025
